#1
double GVI(86100,3)
0 2024 5.361635
1 2024 5.678505
2 2024 5.564439
3 2024 5.668327
4 2024 5.401676
5 2024 5.21826
6 2024 5.360593
7 2024 5.491914
8 2024 5.465608
9 2024 5.554493
10 2024 5.477735
11 2024 5.035516
12 2024 5.456207
13 2024 5.577813
14 2024 5.519718
15 2024 5.317704
16 2024 5.335189
17 2024 5.33929
18 2024 5.414398
19 2024 5.177588
20 2024 5.345653
21 2024 5.283354
22 2024 5.292051
23 2024 5.600059
24 2024 5.405145
25 2024 5.274622
26 2024 5.118931
27 2024 5.415602
28 2024 5.754728
29 2024 5.681067
30 2024 5.390587
31 2024 5.276563
32 2024 5.634482
33 2024 5.410397
34 2024 5.626294
35 2024 5.408568
36 2024 5.406437
37 2024 5.493228
38 2024 5.473632
39 2024 5.425953
40 2024 5.446939
41 2024 5.496575
42 2024 5.224548
43 2024 5.471973
44 2024 5.647649
45 2024 5.541798
46 2024 5.768226
47 2024 5.264371
48 2024 5.641255
49 2024 5.349985
50 2024 5.367386
51 2024 5.571276
52 2024 5.544759
53 2024 5.4701
54 2024 5.38458
55 2024 5.23243
56 2024 5.386374
57 2024 5.746449
58 2024 5.672064
59 2024 5.425696
60 2024 5.194693
61 2024 5.428956
62 2024 5.241944
63 2024 5.343409
64 2024 5.579023
65 2024 5.40131
66 2024 5.576143
67 2024 5.33556
68 2024 5.299064
69 2024 5.171266
70 2024 5.466524
71 2024 5.293502
72 2024 5.507324
73 2024 5.588239
74 2024 5.385099
75 2024 5.684488
76 2024 5.552753
77 2024 5.39965
78 2024 5.579879
79 2024 5.482918
80 2024 5.623728
81 2024 5.244186
82 2024 5.640223
83 2024 5.564899
84 2024 5.399779
85 2024 5.427948
86 2024 5.045032
87 2024 5.250088
88 2024 5.323678
89 2024 5.455887
90 2024 5.233854
91 2024 5.337938
92 2024 5.529411
93 2024 5.476502
94 2024 5.704767
95 2024 5.489221
96 2024 5.367126
97 2024 5.661072
98 2024 5.352769
99 2024 6.036486
100 2024 5.157132
101 2024 5.445827
102 2024 5.44773
103 2024 5.55906
104 2024 5.283112
105 2024 5.527284
106 2024 5.224236
107 2024 5.521532
108 2024 5.397601
109 2024 5.296251
110 2024 5.363242
111 2024 5.431014
112 2024 5.512014
113 2024 5.625881
114 2024 5.514358
115 2024 5.352313
116 2024 5.411688
117 2024 5.121592
118 2024 5.212948
119 2024 5.449353
120 2024 5.373412
121 2024 5.523534
122 2024 5.375752
123 2024 5.472866
124 2024 5.255296
125 2024 5.270183
126 2024 5.303368
127 2024 5.162096
128 2024 5.264238
129 2024 5.609011
130 2024 5.199173
131 2024 5.521363
132 2024 5.326323
133 2024 5.414785
134 2024 5.185923
135 2024 5.583111
136 2024 5.400447
137 2024 5.622734
138 2024 5.442149
139 2024 5.32617
140 2024 5.345021
141 2024 5.371722
142 2024 5.100272
143 2024 5.282297
144 2024 5.058099
145 2024 5.363871
146 2024 4.92814
147 2024 5.247693
148 2024 5.161081
149 2024 5.233453
150 2024 5.130948
151 2024 5.305365
152 2024 5.555918
153 2024 5.327896
154 2024 5.369533
155 2024 5.145064
156 2024 5.004929
157 2024 5.325449
158 2024 5.386698
159 2024 5.319981
160 2024 5.903298
161 2024 5.616312
162 2024 5.543751
163 2024 5.525051
164 2024 5.580338
165 2024 5.159705
166 2024 5.344498
167 2024 5.566698
168 2024 5.631175
169 2024 5.650596
170 2024 5.306879
171 2024 5.586155
172 2024 5.565778
173 2024 5.304794
174 2024 5.858521
175 2024 4.900257
176 2024 5.325339
177 2024 5.704992
178 2024 5.057385
179 2024 5.590092
180 2024 5.489793
181 2024 5.480264
182 2024 5.35129
183 2024 5.162051
184 2024 5.508296
185 2024 5.408913
186 2024 5.392919
187 2024 5.566907
188 2024 5.435364
189 2024 5.398636
190 2024 5.497083
191 2024 5.677746
192 2024 5.018495
193 2024 5.354813
194 2024 5.071086
195 2024 5.403421
196 2024 5.560609
197 2024 5.24767
198 2024 5.251063
199 2024 5.721171
200 2024 5.400081
201 2024 5.349985
202 2024 5.55487
203 2024 5.011043
204 2024 5.310826
205 2024 5.640161
206 2024 5.642431
207 2024 5.108368
208 2024 5.211385
209 2024 5.379865
210 2024 5.284588
211 2024 4.882646
212 2024 5.647711
213 2024 5.089647
214 2024 5.656402
215 2024 5.431829
216 2024 5.515034
217 2024 5.100637
218 2024 5.191398
219 2024 5.383391
220 2024 5.388168
221 2024 5.127407
222 2024 5.390803
223 2024 5.409408
224 2024 5.606811
225 2024 5.562263
226 2024 5.525136
227 2024 5.281812
228 2024 5.557217
229 2024 5.249001
230 2024 5.089418
231 2024 5.426876
232 2024 5.107639
233 2024 5.391041
234 2024 5.323831
235 2024 5.255363
236 2024 5.413215
237 2024 5.333858
238 2024 5.074689
239 2024 5.460046
240 2024 5.468759
241 2024 5.118295
242 2024 5.646288
243 2024 5.350224
244 2024 5.470079
245 2024 5.20441
246 2024 5.514949
247 2024 5.515688
248 2024 5.305299
249 2024 5.168001
250 2024 5.465757
251 2024 5.444823
252 2024 5.422691
253 2024 5.181701
254 2024 5.834567
255 2024 5.6885
256 2024 5.208145
257 2024 5.681354
258 2024 5.257998
259 2024 5.579524
260 2024 5.677295
261 2024 5.105086
262 2024 5.431765
263 2024 5.509289
264 2024 5.613596
265 2024 5.702583
266 2024 5.352748
267 2024 5.296558
268 2024 5.492486
269 2024 5.229136
270 2024 5.295701
271 2024 5.210223
272 2024 5.421961
273 2024 5.448307
274 2024 5.391019
275 2024 5.298734
276 2024 5.610879
277 2024 5.459641
278 2024 5.225528
279 2024 5.467525
280 2024 5.8267
281 2024 5.43545
282 2024 5.255983
283 2024 5.391926
284 2024 5.273275
285 2024 5.699541
286 2024 5.356009
287 2024 5.459086
288 2024 5.553382
289 2024 5.298646
290 2024 5.507345
291 2024 5.278416
292 2024 5.407427
293 2024 5.369511
294 2024 5.029664
295 2024 5.611605
296 2024 5.634875
297 2024 5.610941
298 2024 5.543709
299 2024 5.136186
300 2024 4.962486
301 2024 5.593382
302 2024 5.64076
303 2024 5.405554
304 2024 5.392617
305 2024 5.46959
306 2024 5.333662
307 2024 5.258994
308 2024 5.340358
309 2024 5.20177
310 2024 5.366367
311 2024 5.367495
312 2024 5.42121
313 2024 4.998645
314 2024 5.422949
315 2024 5.043255
316 2024 5.0604
317 2024 5.421059
318 2024 5.71272
319 2024 5.394905
320 2024 5.112104
321 2024 5.235655
322 2024 5.756407
323 2024 5.453283
324 2024 5.410483
325 2024 5.3103
326 2024 5.415495
327 2024 5.167483
328 2024 5.483959
329 2024 5.059226
330 2024 5.399154
331 2024 5.527116
332 2024 4.905718
333 2024 5.210938
334 2024 5.395768
335 2024 5.390198
336 2024 5.541525
337 2024 5.035539
338 2024 5.588718
339 2024 5.062148
340 2024 5.235922
341 2024 5.238923
342 2024 5.263044
343 2024 5.390069
344 2024 5.13605
345 2024 5.260765
346 2024 5.34857
347 2024 5.628239
348 2024 5.499264
349 2024 5.145516
350 2024 5.140672
351 2024 5.297525
352 2024 5.355922
353 2024 5.517967
354 2024 5.452984
355 2024 5.188168
356 2024 5.049161
357 2024 5.199218
358 2024 5.081795
359 2024 5.357508
360 2024 5.420415
361 2024 5.314441
362 2024 5.075537
363 2024 5.451254
364 2024 4.980166
365 2024 5.214556
366 2024 5.030774
367 2024 5.027649
368 2024 5.220937
369 2024 5.446169
370 2024 5.284632
371 2024 5.290423
372 2024 5.099975
373 2024 5.126749
374 2024 5.272414
375 2024 5.497359
376 2024 5.106545
377 2024 5.114427
378 2024 5.261672
379 2024 5.267908
380 2024 5.151463
381 2024 5.035932
382 2024 4.714966
383 2024 4.951377
384 2024 4.99536
385 2024 5.342363
386 2024 5.086146
387 2024 4.968042
388 2024 5.165545
389 2024 5.23134
390 2024 5.337262
391 2024 5.277137
392 2024 5.328748
393 2024 4.951095
394 2024 5.28223
395 2024 4.988014
396 2024 5.454243
397 2024 5.534041
398 2024 5.196262
399 2024 5.087588
400 2024 4.992633
401 2024 5.503644
402 2024 5.313521
403 2024 5.284632
404 2024 5.2146
405 2024 5.66541
406 2024 5.084681
407 2024 5.300162
408 2024 5.404951
409 2024 5.182533
410 2024 5.346763
411 2024 4.849151
412 2024 5.265675
413 2024 5.179072
414 2024 4.96912
415 2024 4.886102
416 2024 5.337567
417 2024 5.216587
418 2024 5.079458
419 2024 5.167821
420 2024 5.245673
421 2024 5.340097
422 2024 4.852823
423 2024 5.116748
424 2024 5.439603
425 2024 5.294954
426 2024 5.225239
427 2024 5.164824
428 2024 5.362569
429 2024 5.057178
430 2024 5.091339
431 2024 5.515815
432 2024 5.13122
433 2024 5.427369
434 2024 5.726866
435 2024 5.33257
436 2024 5.154355
437 2024 5.154219
438 2024 4.848335
439 2024 5.051028
440 2024 5.38793
441 2024 5.186709
442 2024 5.188841
443 2024 5.143231
444 2024 5.39253
445 2024 5.40536
446 2024 5.012832
447 2024 5.162367
448 2024 5.03956
449 2024 5.325667
