#1
double PV_GI(86100,3)
0 2024 3.080084
1 2024 2.77953
2 2024 2.826173
3 2024 2.837971
4 2024 3.017076
5 2024 2.933222
6 2024 2.447835
7 2024 2.777812
8 2024 2.555244
9 2024 2.89475
10 2024 2.865688
11 2024 2.910911
12 2024 3.185727
13 2024 2.724709
14 2024 2.80998
15 2024 2.875422
16 2024 2.834687
17 2024 3.014837
18 2024 2.670157
19 2024 2.884597
20 2024 3.130024
21 2024 2.668587
22 2024 2.867353
23 2024 2.68832
24 2024 2.82852
25 2024 2.714264
26 2024 2.851679
27 2024 2.914588
28 2024 3.133295
29 2024 2.953078
30 2024 3.243884
31 2024 2.568376
32 2024 2.99368
33 2024 3.084918
34 2024 2.978084
35 2024 2.84559
36 2024 2.765211
37 2024 2.644617
38 2024 3.001873
39 2024 3.029398
40 2024 3.021279
41 2024 2.805709
42 2024 3.112232
43 2024 3.003502
44 2024 2.740642
45 2024 2.824525
46 2024 2.996672
47 2024 3.015532
48 2024 2.74217
49 2024 2.768493
50 2024 2.666667
51 2024 3.347974
52 2024 3.310313
53 2024 3.017925
54 2024 2.657352
55 2024 2.732857
56 2024 2.916146
57 2024 2.99939
58 2024 2.968923
59 2024 3.202565
60 2024 2.850005
61 2024 2.782586
62 2024 2.800559
63 2024 2.716022
64 2024 3.019467
65 2024 2.910871
66 2024 3.046069
67 2024 3.219026
68 2024 2.761208
69 2024 2.757622
70 2024 2.630759
71 2024 2.887461
72 2024 2.77324
73 2024 2.722914
74 2024 3.281527
75 2024 3.08084
76 2024 3.104292
77 2024 2.762431
78 2024 3.038377
79 2024 2.807078
80 2024 2.942138
81 2024 2.928455
82 2024 3.129614
83 2024 2.968099
84 2024 3.122539
85 2024 2.85425
86 2024 2.765127
87 2024 2.738772
88 2024 3.162179
89 2024 2.889315
90 2024 2.919697
91 2024 3.045916
92 2024 2.751664
93 2024 3.053245
94 2024 3.027245
95 2024 2.81056
96 2024 2.856656
97 2024 2.733666
98 2024 3.1537
99 2024 2.874207
100 2024 2.747472
101 2024 2.731792
102 2024 2.709327
103 2024 3.000399
104 2024 2.819492
105 2024 3.021279
106 2024 2.86325
107 2024 2.876919
108 2024 2.89149
109 2024 2.736773
110 2024 2.594084
111 2024 3.079517
112 2024 2.832304
113 2024 3.079517
114 2024 2.754877
115 2024 2.710487
116 2024 2.506857
117 2024 2.646333
118 2024 2.966294
119 2024 3.076605
120 2024 2.412433
121 2024 2.884678
122 2024 2.451114
123 2024 2.675166
124 2024 2.606128
125 2024 2.915627
126 2024 2.983552
127 2024 2.963899
128 2024 2.806124
129 2024 3.096632
130 2024 2.759732
131 2024 2.829796
132 2024 2.526885
133 2024 2.960598
134 2024 2.610056
135 2024 2.846858
136 2024 2.565655
137 2024 3.115298
138 2024 3.006369
139 2024 2.556519
140 2024 3.01939
141 2024 2.944946
142 2024 2.986009
143 2024 2.788228
144 2024 3.094564
145 2024 3.084956
146 2024 2.635357
147 2024 2.630095
148 2024 3.033622
149 2024 2.677341
150 2024 2.662998
151 2024 2.590401
152 2024 3.091703
153 2024 2.905387
154 2024 2.556428
155 2024 2.881084
156 2024 2.807949
157 2024 2.86451
158 2024 2.770006
159 2024 2.974799
160 2024 3.175075
161 2024 2.974799
162 2024 2.875907
163 2024 3.027553
164 2024 2.799063
165 2024 2.909271
166 2024 2.593411
167 2024 3.035195
168 2024 2.907991
169 2024 2.691652
170 2024 3.161443
171 2024 3.281243
172 2024 3.020007
173 2024 2.571955
174 2024 2.588198
175 2024 2.969825
176 2024 2.984839
177 2024 2.948423
178 2024 2.954734
179 2024 2.437875
180 2024 2.910232
181 2024 2.545612
182 2024 3.122166
183 2024 2.469851
184 2024 2.618517
185 2024 2.803426
186 2024 2.644573
187 2024 2.830701
188 2024 2.775632
189 2024 2.679515
190 2024 2.753567
191 2024 2.625665
192 2024 2.746624
193 2024 2.451589
194 2024 2.92595
195 2024 2.874004
196 2024 2.990917
197 2024 2.4962
198 2024 2.635578
199 2024 2.748107
200 2024 2.773366
201 2024 2.909791
202 2024 3.037726
203 2024 2.841619
204 2024 3.124067
205 2024 2.610814
206 2024 2.627526
207 2024 2.821927
208 2024 2.773072
209 2024 2.936911
210 2024 2.927541
211 2024 2.747769
212 2024 2.810601
213 2024 2.775464
214 2024 3.149305
215 2024 3.074826
216 2024 2.772946
217 2024 2.634517
218 2024 2.946409
219 2024 2.808115
220 2024 2.56443
221 2024 2.706145
222 2024 2.874814
223 2024 2.850618
224 2024 2.905187
225 2024 2.668064
226 2024 2.867881
227 2024 2.6685
228 2024 2.490317
229 2024 2.875988
230 2024 2.846327
231 2024 2.951343
232 2024 2.90222
233 2024 2.8408
234 2024 3.032087
235 2024 2.572543
236 2024 2.621094
237 2024 2.834482
238 2024 2.765169
239 2024 2.700375
240 2024 3.077626
241 2024 2.674383
242 2024 2.473948
243 2024 2.826297
244 2024 2.51807
245 2024 2.815526
246 2024 2.931555
247 2024 2.473383
248 2024 2.958356
249 2024 2.760534
250 2024 2.60358
251 2024 2.889033
252 2024 2.76946
253 2024 2.835508
254 2024 2.953512
255 2024 2.726673
256 2024 2.929886
257 2024 2.966883
258 2024 2.689748
259 2024 3.008923
260 2024 2.952172
261 2024 2.923283
262 2024 2.861786
263 2024 2.341168
264 2024 2.852945
265 2024 3.157611
266 2024 2.625177
267 2024 2.987178
268 2024 2.6051
269 2024 2.991423
270 2024 2.777142
271 2024 2.788562
272 2024 2.902902
273 2024 2.938456
274 2024 2.900896
275 2024 2.734773
276 2024 2.549131
277 2024 2.898849
278 2024 3.081029
279 2024 2.802554
280 2024 2.951028
281 2024 3.294026
282 2024 2.694376
283 2024 2.817262
284 2024 3.20921
285 2024 2.692387
286 2024 2.862274
287 2024 2.557247
288 2024 2.949844
289 2024 2.747641
290 2024 2.839652
291 2024 2.83251
292 2024 3.077059
293 2024 2.835467
294 2024 2.647345
295 2024 2.905267
296 2024 3.325226
297 2024 2.692128
298 2024 2.826379
299 2024 3.040637
300 2024 2.730044
301 2024 3.279255
302 2024 2.942059
303 2024 2.877
304 2024 3.114027
305 2024 2.920135
306 2024 2.790398
307 2024 2.96441
308 2024 2.885969
309 2024 2.600941
310 2024 2.658184
311 2024 2.761251
312 2024 3.110473
313 2024 2.867962
314 2024 3.286419
315 2024 2.681773
316 2024 2.752848
317 2024 2.509688
318 2024 2.790732
319 2024 3.044004
320 2024 2.795567
321 2024 2.770174
322 2024 3.266949
323 2024 2.814285
324 2024 2.855596
325 2024 2.973194
326 2024 3.009504
327 2024 3.061546
328 2024 2.7389
329 2024 2.844649
330 2024 2.833167
331 2024 2.766347
332 2024 2.696103
333 2024 2.80741
334 2024 2.938575
335 2024 2.914349
336 2024 2.884476
337 2024 2.933658
338 2024 3.161111
339 2024 2.636328
340 2024 2.939803
341 2024 2.597089
342 2024 3.185909
343 2024 2.876069
344 2024 2.897925
345 2024 3.053779
346 2024 2.86516
347 2024 2.998653
348 2024 3.182765
349 2024 2.741958
350 2024 3.125297
351 2024 2.629386
352 2024 2.818129
353 2024 3.069369
354 2024 2.840144
355 2024 2.945263
356 2024 2.815278
357 2024 2.989204
358 2024 3.10144
359 2024 2.755764
360 2024 2.841168
361 2024 2.672815
362 2024 2.49396
363 2024 2.5342
364 2024 3.036844
365 2024 2.747514
366 2024 2.928058
367 2024 2.897845
368 2024 2.844936
369 2024 2.808819
370 2024 2.632086
371 2024 2.925393
372 2024 3.137936
373 2024 2.798563
374 2024 2.815567
375 2024 2.666492
376 2024 3.046948
377 2024 2.868246
378 2024 2.644309
379 2024 2.801598
380 2024 2.622382
381 2024 2.998692
382 2024 2.772401
383 2024 2.918101
384 2024 2.808612
385 2024 2.945421
386 2024 2.830454
387 2024 2.98363
388 2024 2.987568
389 2024 3.033776
390 2024 2.584147
391 2024 2.890161
392 2024 2.870153
393 2024 3.018966
394 2024 3.077702
395 2024 2.63213
396 2024 2.906389
397 2024 3.307288
398 2024 2.675863
399 2024 2.59368
400 2024 2.741873
401 2024 2.918021
402 2024 2.793609
403 2024 2.748743
404 2024 2.688839
405 2024 2.756989
406 2024 3.093059
407 2024 2.960638
408 2024 3.295934
409 2024 2.999546
410 2024 2.863209
411 2024 2.690787
412 2024 2.851598
413 2024 2.935563
414 2024 2.515063
415 2024 2.874652
416 2024 2.890685
417 2024 2.756018
418 2024 2.9277
419 2024 2.755384
420 2024 2.941822
421 2024 3.058388
422 2024 2.859385
423 2024 2.651124
424 2024 2.802969
425 2024 2.796108
426 2024 2.946804
427 2024 2.815443
428 2024 3.011321
429 2024 2.744123
430 2024 2.659235
431 2024 2.891853
432 2024 3.010238
433 2024 2.92587
434 2024 3.157058
435 2024 2.871816
436 2024 2.973115
437 2024 2.841087
438 2024 2.981561
439 2024 2.671421
440 2024 2.317729
441 2024 3.240975
442 2024 2.652968
443 2024 2.81474
444 2024 2.680687
445 2024 2.738049
446 2024 2.418506
447 2024 3.022935
448 2024 3.071568
449 2024 2.763105
450 2024 2.610992
451 2024 2.833455
452 2024 2.813458
453 2024 2.859344
454 2024 2.611394
455 2024 2.782042
456 2024 3.099338
457 2024 2.951343
458 2024 2.756989
459 2024 3.088953
460 2024 3.03201
461 2024 2.855555
462 2024 2.76222
463 2024 2.903102
464 2024 2.809938
465 2024 2.873153
466 2024 2.643649
467 2024 3.049125
468 2024 2.839406
469 2024 3.041479
470 2024 2.904506
471 2024 2.98078
472 2024 2.811885
473 2024 2.884597
474 2024 2.959536
475 2024 2.816642
476 2024 3.033546
477 2024 2.781205
478 2024 2.798106
479 2024 3.322109
480 2024 2.983747
481 2024 2.904906
482 2024 2.854332
483 2024 2.985268
484 2024 2.9569
485 2024 3.050842
486 2024 2.749082
487 2024 2.898929
488 2024 2.875462
489 2024 2.999895
490 2024 2.815691
491 2024 2.856493
492 2024 3.06223
493 2024 2.927263
494 2024 2.983084
495 2024 2.986009
496 2024 2.800144
497 2024 2.972763
498 2024 3.306513
499 2024 3.117054
500 2024 2.373612
501 2024 2.914908
502 2024 2.872343
503 2024 2.700763
504 2024 3.125706
505 2024 3.101928
506 2024 2.957293
507 2024 2.998498
508 2024 2.885001
509 2024 2.819781
510 2024 3.078421
511 2024 2.855963
512 2024 2.668413
513 2024 2.836288
514 2024 3.110024
515 2024 2.782418
516 2024 3.04343
517 2024 2.91846
518 2024 3.161332
519 2024 3.039565
520 2024 3.058502
521 2024 3.071871
522 2024 2.924119
523 2024 2.841947
524 2024 2.747684
525 2024 2.684029
526 2024 3.15082
527 2024 3.201402
528 2024 3.108676
529 2024 2.719962
530 2024 2.831194
531 2024 2.734816
532 2024 2.661423
533 2024 2.72693
534 2024 3.219821
535 2024 3.060671
536 2024 2.680297
537 2024 2.733752
538 2024 2.830331
539 2024 3.002998
540 2024 3.084729
541 2024 3.170525
542 2024 2.961424
543 2024 2.886372
544 2024 2.860158
545 2024 2.86142
546 2024 3.128982
547 2024 2.87291
548 2024 2.711131
549 2024 3.206815
550 2024 3.136006
551 2024 2.932984
552 2024 2.745946
553 2024 3.056903
554 2024 3.10144
555 2024 2.775003
556 2024 2.693338
557 2024 2.942138
558 2024 2.731153
559 2024 2.944037
560 2024 2.730897
561 2024 2.595968
562 2024 3.185727
563 2024 2.470511
564 2024 2.813706
565 2024 2.834646
566 2024 2.701237
567 2024 2.900214
568 2024 2.605726
569 2024 2.782335
570 2024 2.954576
571 2024 2.487557
572 2024 2.606396
573 2024 3.143718
574 2024 3.017693
575 2024 2.908551
576 2024 3.054732
577 2024 2.972763
578 2024 2.796399
579 2024 2.891571
580 2024 2.984527
581 2024 2.937347
582 2024 2.67608
583 2024 3.243238
584 2024 2.94107
585 2024 2.406974
586 2024 2.803343
587 2024 2.834153
588 2024 2.921132
589 2024 2.818832
590 2024 2.858
591 2024 2.884315
592 2024 2.700935
593 2024 2.889315
594 2024 3.14605
595 2024 3.07244
596 2024 2.88726
597 2024 2.935245
